year,best_lag_weeks,covariance
2015,1,-0.05158133333333351
2016,-4,-0.3697810530045349
2017,1,-0.3997788179669031
2018,-4,-0.49877158367346947
2019,-4,-0.19364903175530873
2020,-4,-0.28158229609369534
2021,1,0.06119204301075265
2022,4,-0.004247047967665704
2023,4,-0.0679960298758679
2024,-4,-0.08471339035087717
2025,-4,-0.02467710622710617
