MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
1,12/29/2019,01/04/2020,60651,10,2020-01-60651,POINT (-87.741017 41.901964)
44,10/27/2019,11/02/2019,60661,1,2019-44-60661,POINT (-87.644283 41.882786)
7,02/11/2024,02/17/2024,60652,7,2024-07-60652,POINT (-87.714238 41.745398)
22,05/30/2021,06/05/2021,60619,1,2021-22-60619,POINT (-87.60569 41.744737)
41,10/04/2020,10/10/2020,60637,3,2020-41-60637,POINT (-87.604053 41.780991)
43,10/18/2020,10/24/2020,60601,7,2020-43-60601,POINT (-87.622844 41.886262)
16,04/17/2022,04/23/2022,60652,1,2022-16-60652,POINT (-87.714238 41.745398)
10,03/05/2023,03/11/2023,60647,1,2023-10-60647,POINT (-87.701101 41.921058)
16,04/18/2021,04/24/2021,60628,1,2021-16-60628,POINT (-87.621537 41.694192)
4,01/24/2021,01/30/2021,60626,1,2021-04-60626,POINT (-87.669834 42.009469)
43,10/18/2020,10/24/2020,60610,1,2020-43-60610,POINT (-87.63581 41.90455)
42,10/17/2021,10/23/2021,60607,1,2021-42-60607,POINT (-87.652727 41.876104)
45,11/01/2020,11/07/2020,60619,3,2020-45-60619,POINT (-87.60569 41.744737)
24,06/13/2021,06/19/2021,60641,1,2021-24-60641,POINT (-87.746791 41.946682)
45,11/01/2020,11/07/2020,60609,5,2020-45-60609,POINT (-87.653382 41.812017)
7,02/09/2020,02/15/2020,60633,10,2020-07-60633,POINT (-87.556037 41.653147)
43,10/23/2022,10/29/2022,60649,4,2022-43-60649,POINT (-87.571522 41.762202)
42,10/13/2019,10/19/2019,60638,8,2019-42-60638,POINT (-87.771902 41.787032)
40,10/03/2021,10/09/2021,60629,2,2021-40-60629,POINT (-87.711565 41.777061)
1,01/02/2022,01/08/2022,60641,6,2022-01-60641,POINT (-87.746791 41.946682)
7,02/11/2024,02/17/2024,60624,6,2024-07-60624,POINT (-87.722735 41.879417)
47,11/15/2020,11/21/2020,60657,1,2020-47-60657,POINT (-87.658216 41.939715)
37,09/12/2021,09/18/2021,60613,1,2021-37-60613,POINT (-87.661343 41.953742)
35,08/27/2023,09/02/2023,60625,1,2023-35-60625,POINT (-87.701816 41.971155)
22,05/29/2022,06/04/2022,60666,1,2022-22-60666,POINT (-87.896371 41.979511)
17,04/23/2023,04/29/2023,60607,1,2023-17-60607,POINT (-87.652727 41.876104)
45,11/03/2019,11/09/2019,60611,5,2019-45-60611,POINT (-87.620291 41.894734)
37,09/11/2022,09/17/2022,60646,4,2022-37-60646,POINT (-87.761826 41.993931)
24,06/12/2022,06/18/2022,60607,1,2022-24-60607,POINT (-87.652727 41.876104)
5,01/26/2020,02/01/2020,60614,9,2020-05-60614,POINT (-87.652064 41.922605)
46,11/08/2020,11/14/2020,60612,2,2020-46-60612,POINT (-87.687011 41.88004)
8,02/19/2023,02/25/2023,60653,10,2023-08-60653,POINT (-87.611244 41.819261)
50,12/08/2019,12/14/2019,60643,10,2019-50-60643,POINT (-87.662381 41.700445)
32,08/07/2022,08/13/2022,60649,1,2022-32-60649,POINT (-87.571522 41.762202)
45,11/07/2021,11/13/2021,60666,1,2021-45-60666,POINT (-87.896371 41.979511)
3,01/14/2024,01/20/2024,60637,8,2024-03-60637,POINT (-87.604053 41.780991)
22,05/29/2022,06/04/2022,60624,3,2022-22-60624,POINT (-87.722735 41.879417)
9,02/26/2023,03/04/2023,60642,1,2023-09-60642,POINT (-87.657821 41.899935)
16,04/12/2020,04/18/2020,60619,10,2020-16-60619,POINT (-87.60569 41.744737)
5,01/28/2024,02/03/2024,60623,2,2024-05-60623,POINT (-87.717446 41.850321)
30,07/23/2023,07/29/2023,60617,1,2023-30-60617,POINT (-87.556897 41.721257)
43,10/18/2020,10/24/2020,60652,1,2020-43-60652,POINT (-87.714238 41.745398)
36,09/05/2021,09/11/2021,60616,2,2021-36-60616,POINT (-87.629531 41.844869)
30,07/24/2022,07/30/2022,60637,2,2022-30-60637,POINT (-87.604053 41.780991)
52,12/22/2019,12/28/2019,60666,1,2019-52-60666,POINT (-87.896371 41.979511)
50,12/12/2021,12/18/2021,60624,6,2021-50-60624,POINT (-87.722735 41.879417)
13,03/26/2023,04/01/2023,60633,1,2023-13-60633,POINT (-87.556037 41.653147)
37,09/12/2021,09/18/2021,60655,1,2021-37-60655,POINT (-87.701434 41.696456)
5,01/30/2022,02/05/2022,60653,1,2022-05-60653,POINT (-87.611244 41.819261)
45,11/05/2023,11/11/2023,60637,5,2023-45-60637,POINT (-87.604053 41.780991)
49,12/04/2022,12/10/2022,60638,10,2022-49-60638,POINT (-87.771902 41.787032)
47,11/19/2023,11/25/2023,60606,10,2023-47-60606,POINT (-87.63676 41.882634)
43,10/23/2022,10/29/2022,60633,1,2022-43-60633,POINT (-87.556037 41.653147)
14,03/29/2020,04/04/2020,60605,6,2020-14-60605,POINT (-87.623449 41.867824)
43,10/22/2023,10/28/2023,60628,5,2023-43-60628,POINT (-87.621537 41.694192)
18,04/26/2020,05/02/2020,60637,7,2020-18-60637,POINT (-87.604053 41.780991)
5,01/28/2024,02/03/2024,60617,7,2024-05-60617,POINT (-87.556897 41.721257)
46,11/08/2020,11/14/2020,60631,2,2020-46-60631,POINT (-87.813371 41.995019)
39,09/26/2021,10/02/2021,60647,1,2021-39-60647,POINT (-87.701101 41.921058)
50,12/06/2020,12/12/2020,60625,1,2020-50-60625,POINT (-87.701816 41.971155)
35,08/29/2021,09/04/2021,60653,3,2021-35-60653,POINT (-87.611244 41.819261)
9,02/27/2022,03/05/2022,60655,1,2022-09-60655,POINT (-87.701434 41.696456)
53,12/27/2020,01/02/2021,60605,1,2021-53-60605,POINT (-87.623449 41.867824)
47,11/17/2019,11/23/2019,60644,3,2019-47-60644,POINT (-87.756863 41.881113)
41,10/09/2022,10/15/2022,60827,1,2022-41-60827,POINT (-87.633087 41.650765)
28,07/10/2022,07/16/2022,60642,2,2022-28-60642,POINT (-87.657821 41.899935)
2,01/07/2024,01/13/2024,60616,10,2024-02-60616,POINT (-87.629531 41.844869)
51,12/19/2021,12/25/2021,60645,9,2021-51-60645,POINT (-87.695049 42.008927)
45,11/03/2019,11/09/2019,60626,1,2019-45-60626,POINT (-87.669834 42.009469)
38,09/18/2022,09/24/2022,60707,1,2022-38-60707,POINT (-87.808283 41.921777)
39,09/25/2022,10/01/2022,60640,1,2022-39-60640,POINT (-87.662232 41.971888)
4,01/22/2023,01/28/2023,60611,1,2023-04-60611,POINT (-87.620291 41.894734)
17,04/25/2021,05/01/2021,60614,1,2021-17-60614,POINT (-87.652064 41.922605)
17,04/19/2020,04/25/2020,60646,10,2020-17-60646,POINT (-87.761826 41.993931)
10,03/01/2020,03/07/2020,60605,4,2020-10-60605,POINT (-87.623449 41.867824)
23,06/05/2022,06/11/2022,60640,2,2022-23-60640,POINT (-87.662232 41.971888)
22,05/30/2021,06/05/2021,60652,1,2021-22-60652,POINT (-87.714238 41.745398)
15,04/05/2020,04/11/2020,60613,10,2020-15-60613,POINT (-87.661343 41.953742)
40,09/27/2020,10/03/2020,60609,1,2020-40-60609,POINT (-87.653382 41.812017)
24,06/13/2021,06/19/2021,60625,1,2021-24-60625,POINT (-87.701816 41.971155)
41,10/10/2021,10/16/2021,60605,2,2021-41-60605,POINT (-87.623449 41.867824)
7,02/13/2022,02/19/2022,60618,1,2022-07-60618,POINT (-87.703343 41.946699)
29,07/18/2021,07/24/2021,60611,1,2021-29-60611,POINT (-87.620291 41.894734)
21,05/22/2022,05/28/2022,60631,4,2022-21-60631,POINT (-87.813371 41.995019)
34,08/22/2021,08/28/2021,60827,1,2021-34-60827,POINT (-87.633087 41.650765)
27,07/03/2022,07/09/2022,60647,4,2022-27-60647,POINT (-87.701101 41.921058)
20,05/15/2022,05/21/2022,60631,1,2022-20-60631,POINT (-87.813371 41.995019)
38,09/18/2022,09/24/2022,60611,1,2022-38-60611,POINT (-87.620291 41.894734)
48,11/22/2020,11/28/2020,60619,2,2020-48-60619,POINT (-87.60569 41.744737)
34,08/22/2021,08/28/2021,60620,2,2021-34-60620,POINT (-87.651656 41.740873)
2,01/08/2023,01/14/2023,60652,3,2023-02-60652,POINT (-87.714238 41.745398)
20,05/16/2021,05/22/2021,60661,1,2021-20-60661,POINT (-87.644283 41.882786)
33,08/15/2021,08/21/2021,60653,4,2021-33-60653,POINT (-87.611244 41.819261)
16,04/12/2020,04/18/2020,60660,10,2020-16-60660,POINT (-87.666362 41.991062)
18,05/02/2021,05/08/2021,60614,1,2021-18-60614,POINT (-87.652064 41.922605)
38,09/17/2023,09/23/2023,60623,5,2023-38-60623,POINT (-87.717446 41.850321)
14,04/04/2021,04/10/2021,60640,1,2021-14-60640,POINT (-87.662232 41.971888)
49,12/05/2021,12/11/2021,60643,1,2021-49-60643,POINT (-87.662381 41.700445)
31,07/31/2022,08/06/2022,60602,1,2022-31-60602,POINT (-87.628309 41.883136)
44,10/25/2020,10/31/2020,60827,1,2020-44-60827,POINT (-87.633087 41.650765)
17,04/23/2023,04/29/2023,60613,1,2023-17-60613,POINT (-87.661343 41.953742)
26,06/25/2023,07/01/2023,60827,1,2023-26-60827,POINT (-87.633087 41.650765)
52,12/24/2023,12/30/2023,60638,10,2023-52-60638,POINT (-87.771902 41.787032)
28,07/11/2021,07/17/2021,60633,4,2021-28-60633,POINT (-87.556037 41.653147)
3,01/16/2022,01/22/2022,60623,2,2022-03-60623,POINT (-87.717446 41.850321)
3,01/14/2024,01/20/2024,60626,2,2024-03-60626,POINT (-87.669834 42.009469)
50,12/06/2020,12/12/2020,60626,1,2020-50-60626,POINT (-87.669834 42.009469)
45,11/01/2020,11/07/2020,60661,1,2020-45-60661,POINT (-87.644283 41.882786)
21,05/22/2022,05/28/2022,60653,6,2022-21-60653,POINT (-87.611244 41.819261)
32,08/06/2023,08/12/2023,60623,1,2023-32-60623,POINT (-87.717446 41.850321)
4,01/23/2022,01/29/2022,60632,1,2022-04-60632,POINT (-87.711251 41.810038)
35,08/28/2022,09/03/2022,60647,3,2022-35-60647,POINT (-87.701101 41.921058)
16,04/17/2022,04/23/2022,60707,1,2022-16-60707,POINT (-87.808283 41.921777)
8,02/19/2023,02/25/2023,60827,2,2023-08-60827,POINT (-87.633087 41.650765)
10,03/07/2021,03/13/2021,60617,1,2021-10-60617,POINT (-87.556897 41.721257)
28,07/11/2021,07/17/2021,60625,2,2021-28-60625,POINT (-87.701816 41.971155)
24,06/11/2023,06/17/2023,60827,1,2023-24-60827,POINT (-87.633087 41.650765)
47,11/17/2019,11/23/2019,60628,7,2019-47-60628,POINT (-87.621537 41.694192)
46,11/13/2022,11/19/2022,60607,8,2022-46-60607,POINT (-87.652727 41.876104)
22,05/30/2021,06/05/2021,60625,1,2021-22-60625,POINT (-87.701816 41.971155)
