MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
23,2021-06-06,06/12/2021,60666,1,2021-23-60666,POINT (-87.896371 41.979511)
24,2021-06-13,06/19/2021,60666,1,2021-24-60666,POINT (-87.896371 41.979511)
25,2021-06-20,06/26/2021,60666,1,2021-25-60666,POINT (-87.896371 41.979511)
26,2021-06-27,07/03/2021,60666,1,2021-26-60666,POINT (-87.896371 41.979511)
27,2021-07-04,07/10/2021,60666,1,2021-27-60666,POINT (-87.896371 41.979511)
28,2021-07-11,07/17/2021,60666,1,2021-28-60666,POINT (-87.896371 41.979511)
29,2021-07-18,07/24/2021,60666,1,2021-29-60666,POINT (-87.896371 41.979511)
30,2021-07-25,07/31/2021,60666,1,2021-30-60666,POINT (-87.896371 41.979511)
31,2021-08-01,08/07/2021,60666,1,2021-31-60666,POINT (-87.896371 41.979511)
32,2021-08-08,08/14/2021,60666,1,2021-32-60666,POINT (-87.896371 41.979511)
33,2021-08-15,08/21/2021,60666,1,2021-33-60666,POINT (-87.896371 41.979511)
34,2021-08-22,08/28/2021,60666,1,2021-34-60666,POINT (-87.896371 41.979511)
35,2021-08-29,09/04/2021,60666,1,2021-35-60666,POINT (-87.896371 41.979511)
36,2021-09-05,09/11/2021,60666,1,2021-36-60666,POINT (-87.896371 41.979511)
37,2021-09-12,09/18/2021,60666,1,2021-37-60666,POINT (-87.896371 41.979511)
38,2021-09-19,09/25/2021,60666,1,2021-38-60666,POINT (-87.896371 41.979511)
39,2021-09-26,10/02/2021,60666,1,2021-39-60666,POINT (-87.896371 41.979511)
40,2021-10-03,10/09/2021,60666,1,2021-40-60666,POINT (-87.896371 41.979511)
41,2021-10-10,10/16/2021,60666,1,2021-41-60666,POINT (-87.896371 41.979511)
42,2021-10-17,10/23/2021,60666,1,2021-42-60666,POINT (-87.896371 41.979511)
43,2021-10-24,10/30/2021,60666,1,2021-43-60666,POINT (-87.896371 41.979511)
44,2021-10-31,11/06/2021,60666,1,2021-44-60666,POINT (-87.896371 41.979511)
45,2021-11-07,11/13/2021,60666,1,2021-45-60666,POINT (-87.896371 41.979511)
46,2021-11-14,11/20/2021,60666,1,2021-46-60666,POINT (-87.896371 41.979511)
47,2021-11-21,11/27/2021,60666,1,2021-47-60666,POINT (-87.896371 41.979511)
48,2021-11-28,12/04/2021,60666,1,2021-48-60666,POINT (-87.896371 41.979511)
49,2021-12-05,12/11/2021,60666,1,2021-49-60666,POINT (-87.896371 41.979511)
50,2021-12-12,12/18/2021,60666,1,2021-50-60666,POINT (-87.896371 41.979511)
51,2021-12-19,12/25/2021,60666,1,2021-51-60666,POINT (-87.896371 41.979511)
52,2021-12-26,01/01/2022,60666,1,2021-52-60666,POINT (-87.896371 41.979511)
1,2022-01-02,01/08/2022,60666,1,2022-01-60666,POINT (-87.896371 41.979511)
2,2022-01-09,01/15/2022,60666,1,2022-02-60666,POINT (-87.896371 41.979511)
3,2022-01-16,01/22/2022,60666,1,2022-03-60666,POINT (-87.896371 41.979511)
4,2022-01-23,01/29/2022,60666,1,2022-04-60666,POINT (-87.896371 41.979511)
5,2022-01-30,02/05/2022,60666,1,2022-05-60666,POINT (-87.896371 41.979511)
6,2022-02-06,02/12/2022,60666,1,2022-06-60666,POINT (-87.896371 41.979511)
7,2022-02-13,02/19/2022,60666,1,2022-07-60666,POINT (-87.896371 41.979511)
8,2022-02-20,02/26/2022,60666,1,2022-08-60666,POINT (-87.896371 41.979511)
9,2022-02-27,03/05/2022,60666,1,2022-09-60666,POINT (-87.896371 41.979511)
10,2022-03-06,03/12/2022,60666,1,2022-10-60666,POINT (-87.896371 41.979511)
11,2022-03-13,03/19/2022,60666,1,2022-11-60666,POINT (-87.896371 41.979511)
12,2022-03-20,03/26/2022,60666,1,2022-12-60666,POINT (-87.896371 41.979511)
13,2022-03-27,04/02/2022,60666,1,2022-13-60666,POINT (-87.896371 41.979511)
14,2022-04-03,04/09/2022,60666,1,2022-14-60666,POINT (-87.896371 41.979511)
15,2022-04-10,04/16/2022,60666,1,2022-15-60666,POINT (-87.896371 41.979511)
16,2022-04-17,04/23/2022,60666,1,2022-16-60666,POINT (-87.896371 41.979511)
17,2022-04-24,04/30/2022,60666,1,2022-17-60666,POINT (-87.896371 41.979511)
18,2022-05-01,05/07/2022,60666,1,2022-18-60666,POINT (-87.896371 41.979511)
19,2022-05-08,05/14/2022,60666,1,2022-19-60666,POINT (-87.896371 41.979511)
20,2022-05-15,05/21/2022,60666,1,2022-20-60666,POINT (-87.896371 41.979511)
21,2022-05-22,05/28/2022,60666,1,2022-21-60666,POINT (-87.896371 41.979511)
22,2022-05-29,06/04/2022,60666,1,2022-22-60666,POINT (-87.896371 41.979511)
23,2022-06-05,06/11/2022,60666,1,2022-23-60666,POINT (-87.896371 41.979511)
24,2022-06-12,06/18/2022,60666,1,2022-24-60666,POINT (-87.896371 41.979511)
25,2022-06-19,06/25/2022,60666,1,2022-25-60666,POINT (-87.896371 41.979511)
26,2022-06-26,07/02/2022,60666,1,2022-26-60666,POINT (-87.896371 41.979511)
27,2022-07-03,07/09/2022,60666,1,2022-27-60666,POINT (-87.896371 41.979511)
28,2022-07-10,07/16/2022,60666,1,2022-28-60666,POINT (-87.896371 41.979511)
29,2022-07-17,07/23/2022,60666,1,2022-29-60666,POINT (-87.896371 41.979511)
30,2022-07-24,07/30/2022,60666,1,2022-30-60666,POINT (-87.896371 41.979511)
31,2022-07-31,08/06/2022,60666,1,2022-31-60666,POINT (-87.896371 41.979511)
32,2022-08-07,08/13/2022,60666,1,2022-32-60666,POINT (-87.896371 41.979511)
33,2022-08-14,08/20/2022,60666,1,2022-33-60666,POINT (-87.896371 41.979511)
34,2022-08-21,08/27/2022,60666,1,2022-34-60666,POINT (-87.896371 41.979511)
35,2022-08-28,09/03/2022,60666,1,2022-35-60666,POINT (-87.896371 41.979511)
36,2022-09-04,09/10/2022,60666,1,2022-36-60666,POINT (-87.896371 41.979511)
37,2022-09-11,09/17/2022,60666,1,2022-37-60666,POINT (-87.896371 41.979511)
38,2022-09-18,09/24/2022,60666,1,2022-38-60666,POINT (-87.896371 41.979511)
39,2022-09-25,10/01/2022,60666,1,2022-39-60666,POINT (-87.896371 41.979511)
40,2022-10-02,10/08/2022,60666,1,2022-40-60666,POINT (-87.896371 41.979511)
41,2022-10-09,10/15/2022,60666,1,2022-41-60666,POINT (-87.896371 41.979511)
42,2022-10-16,10/22/2022,60666,1,2022-42-60666,POINT (-87.896371 41.979511)
43,2022-10-23,10/29/2022,60666,1,2022-43-60666,POINT (-87.896371 41.979511)
44,2022-10-30,11/05/2022,60666,1,2022-44-60666,POINT (-87.896371 41.979511)
45,2022-11-06,11/12/2022,60666,1,2022-45-60666,POINT (-87.896371 41.979511)
46,2022-11-13,11/19/2022,60666,1,2022-46-60666,POINT (-87.896371 41.979511)
47,2022-11-20,11/26/2022,60666,1,2022-47-60666,POINT (-87.896371 41.979511)
48,2022-11-27,12/03/2022,60666,1,2022-48-60666,POINT (-87.896371 41.979511)
49,2022-12-04,12/10/2022,60666,1,2022-49-60666,POINT (-87.896371 41.979511)
50,2022-12-11,12/17/2022,60666,1,2022-50-60666,POINT (-87.896371 41.979511)
51,2022-12-18,12/24/2022,60666,1,2022-51-60666,POINT (-87.896371 41.979511)
52,2022-12-25,12/31/2022,60666,1,2022-52-60666,POINT (-87.896371 41.979511)
1,2023-01-01,01/07/2023,60666,1,2023-01-60666,POINT (-87.896371 41.979511)
2,2023-01-08,01/14/2023,60666,1,2023-02-60666,POINT (-87.896371 41.979511)
3,2023-01-15,01/21/2023,60666,1,2023-03-60666,POINT (-87.896371 41.979511)
4,2023-01-22,01/28/2023,60666,1,2023-04-60666,POINT (-87.896371 41.979511)
5,2023-01-29,02/04/2023,60666,1,2023-05-60666,POINT (-87.896371 41.979511)
6,2023-02-05,02/11/2023,60666,1,2023-06-60666,POINT (-87.896371 41.979511)
7,2023-02-12,02/18/2023,60666,1,2023-07-60666,POINT (-87.896371 41.979511)
8,2023-02-19,02/25/2023,60666,1,2023-08-60666,POINT (-87.896371 41.979511)
9,2023-02-26,03/04/2023,60666,1,2023-09-60666,POINT (-87.896371 41.979511)
10,2023-03-05,03/11/2023,60666,1,2023-10-60666,POINT (-87.896371 41.979511)
11,2023-03-12,03/18/2023,60666,1,2023-11-60666,POINT (-87.896371 41.979511)
12,2023-03-19,03/25/2023,60666,1,2023-12-60666,POINT (-87.896371 41.979511)
13,2023-03-26,04/01/2023,60666,1,2023-13-60666,POINT (-87.896371 41.979511)
14,2023-04-02,04/08/2023,60666,1,2023-14-60666,POINT (-87.896371 41.979511)
15,2023-04-09,04/15/2023,60666,1,2023-15-60666,POINT (-87.896371 41.979511)
16,2023-04-16,04/22/2023,60666,1,2023-16-60666,POINT (-87.896371 41.979511)
17,2023-04-23,04/29/2023,60666,1,2023-17-60666,POINT (-87.896371 41.979511)
18,2023-04-30,05/06/2023,60666,1,2023-18-60666,POINT (-87.896371 41.979511)
19,2023-05-07,05/13/2023,60666,1,2023-19-60666,POINT (-87.896371 41.979511)
20,2023-05-14,05/20/2023,60666,1,2023-20-60666,POINT (-87.896371 41.979511)
21,2023-05-21,05/27/2023,60666,1,2023-21-60666,POINT (-87.896371 41.979511)
22,2023-05-28,06/03/2023,60666,1,2023-22-60666,POINT (-87.896371 41.979511)
23,2023-06-04,06/10/2023,60666,1,2023-23-60666,POINT (-87.896371 41.979511)
24,2023-06-11,06/17/2023,60666,1,2023-24-60666,POINT (-87.896371 41.979511)
25,2023-06-18,06/24/2023,60666,1,2023-25-60666,POINT (-87.896371 41.979511)
26,2023-06-25,07/01/2023,60666,1,2023-26-60666,POINT (-87.896371 41.979511)
27,2023-07-02,07/08/2023,60666,1,2023-27-60666,POINT (-87.896371 41.979511)
28,2023-07-09,07/15/2023,60666,1,2023-28-60666,POINT (-87.896371 41.979511)
29,2023-07-16,07/22/2023,60666,1,2023-29-60666,POINT (-87.896371 41.979511)
30,2023-07-23,07/29/2023,60666,1,2023-30-60666,POINT (-87.896371 41.979511)
31,2023-07-30,08/05/2023,60666,1,2023-31-60666,POINT (-87.896371 41.979511)
32,2023-08-06,08/12/2023,60666,1,2023-32-60666,POINT (-87.896371 41.979511)
33,2023-08-13,08/19/2023,60666,1,2023-33-60666,POINT (-87.896371 41.979511)
34,2023-08-20,08/26/2023,60666,1,2023-34-60666,POINT (-87.896371 41.979511)
35,2023-08-27,09/02/2023,60666,1,2023-35-60666,POINT (-87.896371 41.979511)
36,2023-09-03,09/09/2023,60666,10,2023-36-60666,POINT (-87.896371 41.979511)
37,2023-09-10,09/16/2023,60666,10,2023-37-60666,POINT (-87.896371 41.979511)
38,2023-09-17,09/23/2023,60666,10,2023-38-60666,POINT (-87.896371 41.979511)
39,2023-09-24,09/30/2023,60666,1,2023-39-60666,POINT (-87.896371 41.979511)
40,2023-10-01,10/07/2023,60666,1,2023-40-60666,POINT (-87.896371 41.979511)
41,2023-10-08,10/14/2023,60666,10,2023-41-60666,POINT (-87.896371 41.979511)
42,2023-10-15,10/21/2023,60666,1,2023-42-60666,POINT (-87.896371 41.979511)
